starting_score,heuristic_applied,previous heuristic,new_score
Infinity,11,0,3330.0
3330.0,4,11,80.0
80.0,3,4,61.0
61.0,4,3,50.0
50.0,3,4,46.0
46.0,2,3,40.0
40.0,1,2,39.0
39.0,4,1,36.0
36.0,9,4,36.0
36.0,3,9,36.0
36.0,10,3,36.0
36.0,3,10,36.0
36.0,10,3,36.0
36.0,4,10,36.0
36.0,10,4,36.0
36.0,9,10,36.0
36.0,5,9,36.0
36.0,10,5,36.0
36.0,9,10,36.0
36.0,8,9,36.0
36.0,4,8,36.0
36.0,4,4,36.0
36.0,5,4,36.0
36.0,9,5,36.0
36.0,5,9,36.0
36.0,10,5,36.0
36.0,9,10,36.0
36.0,5,9,36.0
36.0,10,5,36.0
36.0,9,10,36.0
36.0,8,9,36.0
36.0,3,8,36.0
36.0,9,3,36.0
36.0,8,9,36.0
36.0,4,8,36.0
36.0,10,4,36.0
36.0,9,10,36.0
36.0,5,9,36.0
36.0,10,5,36.0
36.0,9,10,36.0
36.0,4,9,36.0
36.0,10,4,36.0
36.0,5,10,36.0
36.0,4,5,36.0
36.0,9,4,36.0
36.0,4,9,36.0
36.0,10,4,36.0
36.0,9,10,36.0
36.0,4,9,36.0
36.0,8,4,34.0
34.0,5,8,34.0
34.0,8,5,34.0
34.0,2,8,34.0
34.0,9,2,34.0
34.0,3,9,34.0
34.0,8,3,34.0
34.0,3,8,34.0
34.0,8,3,34.0
34.0,5,8,34.0
34.0,10,5,34.0
34.0,8,10,34.0
34.0,4,8,34.0
34.0,10,4,34.0
34.0,9,10,34.0
34.0,4,9,34.0
34.0,10,4,34.0
34.0,8,10,34.0
34.0,5,8,34.0
34.0,10,5,34.0
34.0,8,10,34.0
34.0,4,8,34.0
34.0,8,4,34.0
34.0,4,8,34.0
34.0,8,4,34.0
34.0,4,8,34.0
34.0,10,4,34.0
34.0,9,10,34.0
34.0,8,9,34.0
34.0,3,8,34.0
34.0,4,3,34.0
34.0,10,4,34.0
34.0,5,10,34.0
34.0,10,5,34.0
34.0,9,10,34.0
34.0,8,9,34.0
34.0,5,8,34.0
34.0,10,5,34.0
34.0,8,10,34.0
34.0,5,8,34.0
34.0,10,5,34.0
34.0,4,10,34.0
34.0,4,4,34.0
34.0,10,4,34.0
34.0,5,10,34.0
34.0,10,5,34.0
34.0,3,10,34.0
34.0,8,3,34.0
34.0,5,8,34.0
34.0,8,5,34.0
34.0,0,Null,34.0
