starting_score,heuristic_applied,previous heuristic,new_score
Infinity,11,0,2137.0
2137.0,4,11,64.0
64.0,3,4,31.0
31.0,10,3,28.0
28.0,9,10,28.0
28.0,2,9,28.0
28.0,10,2,28.0
28.0,9,10,28.0
28.0,8,9,28.0
28.0,4,8,28.0
28.0,10,4,28.0
28.0,8,10,28.0
28.0,3,8,28.0
28.0,8,3,28.0
28.0,3,8,28.0
28.0,5,3,28.0
28.0,9,5,28.0
28.0,4,9,28.0
28.0,8,4,28.0
28.0,4,8,28.0
28.0,10,4,28.0
28.0,9,10,28.0
28.0,8,9,28.0
28.0,5,8,28.0
28.0,4,5,26.0
26.0,9,4,24.0
24.0,4,9,22.0
22.0,10,4,22.0
22.0,9,10,22.0
22.0,3,9,22.0
22.0,9,3,22.0
22.0,6,9,22.0
22.0,2,6,22.0
22.0,10,2,22.0
22.0,9,10,22.0
22.0,2,9,22.0
22.0,8,2,22.0
22.0,5,8,22.0
22.0,10,5,22.0
22.0,9,10,22.0
22.0,8,9,22.0
22.0,0,Null,22.0
22.0,8,0,22.0
22.0,3,8,22.0
22.0,10,3,22.0
22.0,9,10,22.0
22.0,4,9,22.0
22.0,5,4,22.0
22.0,9,5,22.0
22.0,8,9,22.0
22.0,0,Null,22.0
22.0,5,0,22.0
22.0,10,5,22.0
22.0,9,10,22.0
22.0,8,9,22.0
22.0,2,8,22.0
22.0,9,2,22.0
22.0,4,9,22.0
22.0,8,4,22.0
22.0,3,8,22.0
22.0,4,3,21.0
21.0,8,4,21.0
21.0,5,8,21.0
21.0,5,5,21.0
21.0,10,5,21.0
21.0,8,10,21.0
21.0,1,8,21.0
21.0,10,1,21.0
21.0,5,10,21.0
21.0,5,5,21.0
21.0,3,5,21.0
21.0,10,3,21.0
21.0,9,10,21.0
21.0,5,9,21.0
21.0,10,5,21.0
21.0,8,10,21.0
21.0,2,8,21.0
21.0,10,2,21.0
21.0,8,10,21.0
21.0,3,8,21.0
21.0,5,3,21.0
21.0,10,5,21.0
21.0,9,10,21.0
21.0,8,9,21.0
21.0,4,8,21.0
21.0,8,4,21.0
21.0,5,8,21.0
21.0,10,5,21.0
21.0,9,10,21.0
21.0,5,9,21.0
21.0,10,5,21.0
21.0,8,10,21.0
21.0,5,8,21.0
21.0,4,5,21.0
21.0,9,4,21.0
21.0,8,9,21.0
21.0,5,8,21.0
21.0,1,5,21.0
21.0,10,1,21.0
21.0,9,10,21.0
