starting_score,heuristic_applied,previous heuristic,new_score
Infinity,11,0,72635.0
72635.0,4,11,5361.0
5361.0,4,4,3999.0
3999.0,10,4,3853.0
3853.0,4,10,3670.0
3670.0,2,4,3558.0
3558.0,0,Null,3553.0
3553.0,9,0,3553.0
3553.0,8,9,3553.0
3553.0,4,8,3550.0
3550.0,5,4,3466.0
3466.0,0,Null,3464.0
3464.0,2,0,3463.0
3463.0,10,2,3463.0
3463.0,4,10,3463.0
3463.0,10,4,3463.0
3463.0,9,10,3463.0
3463.0,5,9,3463.0
3463.0,10,5,3463.0
3463.0,4,10,3461.0
3461.0,9,4,3459.0
3459.0,5,9,3459.0
3459.0,4,5,3458.0
3458.0,5,4,3458.0
3458.0,4,5,3456.0
3456.0,5,4,3455.0
3455.0,2,5,3453.0
3453.0,10,2,3453.0
3453.0,4,10,3453.0
3453.0,10,4,3453.0
3453.0,9,10,3453.0
3453.0,8,9,3453.0
3453.0,4,8,3453.0
3453.0,9,4,3453.0
3453.0,8,9,3453.0
3453.0,3,8,3449.0
3449.0,1,3,3347.0
3347.0,4,1,3346.0
3346.0,9,4,3346.0
3346.0,4,9,3343.0
3343.0,10,4,3341.0
3341.0,3,10,3341.0
3341.0,10,3,3341.0
3341.0,8,10,3341.0
3341.0,1,8,3341.0
3341.0,9,1,3341.0
3341.0,8,9,3341.0
3341.0,5,8,3341.0
3341.0,10,5,3341.0
3341.0,9,10,3341.0
3341.0,1,9,3341.0
3341.0,8,1,3341.0
3341.0,3,8,3341.0
3341.0,9,3,3341.0
3341.0,4,9,3341.0
3341.0,8,4,3341.0
3341.0,5,8,3341.0
3341.0,10,5,3341.0
3341.0,5,10,3341.0
3341.0,2,5,3341.0
3341.0,10,2,3341.0
3341.0,9,10,3341.0
3341.0,2,9,3341.0
3341.0,10,2,3341.0
3341.0,9,10,3341.0
3341.0,4,9,3341.0
3341.0,10,4,3341.0
3341.0,8,10,3341.0
3341.0,5,8,3341.0
3341.0,9,5,3341.0
3341.0,8,9,3341.0
3341.0,5,8,3341.0
3341.0,8,5,3341.0
3341.0,5,8,3341.0
3341.0,8,5,3341.0
3341.0,4,8,3341.0
3341.0,10,4,3341.0
3341.0,9,10,3341.0
3341.0,8,9,3341.0
3341.0,2,8,3341.0
3341.0,9,2,3341.0
3341.0,8,9,3341.0
3341.0,5,8,3341.0
3341.0,10,5,3341.0
3341.0,9,10,3341.0
3341.0,8,9,3341.0
3341.0,1,8,3341.0
3341.0,10,1,3341.0
3341.0,5,10,3341.0
3341.0,10,5,3341.0
3341.0,9,10,3341.0
3341.0,8,9,3341.0
3341.0,3,8,3341.0
3341.0,9,3,3341.0
3341.0,8,9,3341.0
3341.0,4,8,3341.0
3341.0,9,4,3341.0
3341.0,8,9,3341.0
3341.0,5,8,3341.0
3341.0,9,5,3341.0
