starting_score,heuristic_applied,previous heuristic,new_score
Infinity,11,0,76806.0
76806.0,4,11,3683.0
3683.0,7,4,2962.0
2962.0,2,7,2652.0
2652.0,0,Null,2514.0
2514.0,1,0,2508.0
2508.0,3,1,2496.0
2496.0,4,3,2484.0
2484.0,3,4,2479.0
2479.0,4,3,2299.0
2299.0,3,4,2294.0
2294.0,0,Null,2290.0
2290.0,2,0,2286.0
2286.0,3,2,2283.0
2283.0,4,3,2278.0
2278.0,3,4,2273.0
2273.0,2,3,2272.0
2272.0,5,2,2272.0
2272.0,10,5,2272.0
2272.0,3,10,2272.0
2272.0,4,3,2268.0
2268.0,5,4,2268.0
2268.0,8,5,2268.0
2268.0,4,8,2268.0
2268.0,9,4,2268.0
2268.0,3,9,2266.0
2266.0,10,3,2266.0
2266.0,3,10,2265.0
2265.0,9,3,2265.0
2265.0,3,9,2260.0
2260.0,9,3,2260.0
2260.0,4,9,2260.0
2260.0,9,4,2260.0
2260.0,5,9,2260.0
2260.0,9,5,2260.0
2260.0,8,9,2260.0
2260.0,5,8,2260.0
2260.0,10,5,2260.0
2260.0,9,10,2260.0
2260.0,8,9,2260.0
2260.0,4,8,2260.0
2260.0,10,4,2260.0
2260.0,5,10,2260.0
2260.0,10,5,2260.0
2260.0,3,10,2259.0
2259.0,10,3,2259.0
2259.0,8,10,2259.0
2259.0,6,8,2259.0
2259.0,4,6,2255.0
2255.0,0,Null,2254.0
2254.0,8,0,2254.0
2254.0,5,8,2254.0
2254.0,4,5,2252.0
2252.0,10,4,2252.0
2252.0,9,10,2252.0
2252.0,8,9,2252.0
2252.0,5,8,2252.0
2252.0,3,5,2252.0
2252.0,8,3,2252.0
2252.0,3,8,2252.0
2252.0,9,3,2252.0
2252.0,4,9,2252.0
2252.0,8,4,2252.0
2252.0,5,8,2252.0
2252.0,10,5,2252.0
2252.0,5,10,2252.0
2252.0,2,5,2252.0
2252.0,9,2,2252.0
2252.0,3,9,2251.0
2251.0,4,3,2249.0
2249.0,5,4,2249.0
2249.0,10,5,2249.0
2249.0,9,10,2249.0
2249.0,5,9,2249.0
2249.0,4,5,2248.0
2248.0,9,4,2248.0
2248.0,8,9,2248.0
2248.0,5,8,2248.0
2248.0,8,5,2248.0
2248.0,5,8,2248.0
2248.0,5,5,2248.0
2248.0,10,5,2248.0
2248.0,8,10,2248.0
2248.0,6,8,2248.0
2248.0,5,6,2248.0
2248.0,9,5,2248.0
2248.0,8,9,2248.0
2248.0,4,8,2248.0
2248.0,10,4,2248.0
2248.0,8,10,2248.0
2248.0,5,8,2248.0
2248.0,8,5,2248.0
2248.0,4,8,2248.0
2248.0,8,4,2248.0
2248.0,4,8,2247.0
2247.0,0,Null,2246.0
2246.0,9,0,2246.0
2246.0,8,9,2246.0
2246.0,4,8,2246.0
2246.0,10,4,2246.0
