starting_score,heuristic_applied,previous heuristic,new_score
Infinity,11,0,148303.0
148303.0,3,11,7102.0
7102.0,2,3,3491.0
3491.0,3,2,3468.0
3468.0,4,3,3412.0
3412.0,3,4,3392.0
3392.0,2,3,3358.0
3358.0,10,2,3358.0
3358.0,4,10,3357.0
3357.0,2,4,3348.0
3348.0,10,2,3348.0
3348.0,3,10,3347.0
3347.0,4,3,3344.0
3344.0,10,4,3343.0
3343.0,9,10,3343.0
3343.0,5,9,3343.0
3343.0,10,5,3343.0
3343.0,5,10,3343.0
3343.0,8,5,3343.0
3343.0,3,8,3343.0
3343.0,5,3,3343.0
3343.0,9,5,3343.0
3343.0,4,9,3343.0
3343.0,9,4,3343.0
3343.0,5,9,3343.0
3343.0,9,5,3343.0
3343.0,8,9,3343.0
3343.0,5,8,3343.0
3343.0,10,5,3343.0
3343.0,9,10,3343.0
3343.0,8,9,3343.0
3343.0,4,8,3343.0
3343.0,3,4,3342.0
3342.0,10,3,3342.0
3342.0,9,10,3342.0
3342.0,8,9,3342.0
3342.0,4,8,3342.0
3342.0,5,4,3342.0
3342.0,10,5,3342.0
3342.0,9,10,3342.0
3342.0,4,9,3341.0
3341.0,10,4,3317.0
3317.0,2,10,3314.0
3314.0,3,2,3313.0
3313.0,10,3,3313.0
3313.0,9,10,3313.0
3313.0,8,9,3313.0
3313.0,5,8,3313.0
3313.0,3,5,3313.0
3313.0,8,3,3313.0
3313.0,3,8,3313.0
3313.0,9,3,3313.0
3313.0,4,9,3313.0
3313.0,8,4,3313.0
3313.0,5,8,3313.0
3313.0,10,5,3313.0
3313.0,5,10,3313.0
3313.0,2,5,3313.0
3313.0,10,2,3313.0
3313.0,9,10,3313.0
3313.0,2,9,3313.0
3313.0,10,2,3313.0
3313.0,9,10,3313.0
3313.0,4,9,3313.0
3313.0,10,4,3313.0
3313.0,8,10,3313.0
3313.0,5,8,3313.0
3313.0,9,5,3313.0
3313.0,8,9,3313.0
3313.0,5,8,3313.0
3313.0,8,5,3313.0
3313.0,5,8,3313.0
3313.0,4,5,3312.0
3312.0,10,4,3312.0
3312.0,9,10,3312.0
3312.0,5,9,3312.0
3312.0,8,5,3312.0
3312.0,4,8,3312.0
3312.0,8,4,3312.0
3312.0,4,8,3312.0
3312.0,10,4,3312.0
3312.0,9,10,3312.0
3312.0,8,9,3312.0
3312.0,3,8,3312.0
3312.0,4,3,3312.0
3312.0,10,4,3312.0
3312.0,5,10,3312.0
3312.0,10,5,3312.0
3312.0,9,10,3312.0
3312.0,8,9,3312.0
3312.0,3,8,3312.0
3312.0,9,3,3312.0
3312.0,8,9,3312.0
3312.0,4,8,3312.0
3312.0,9,4,3312.0
3312.0,8,9,3312.0
3312.0,5,8,3312.0
3312.0,9,5,3312.0
3312.0,8,9,3312.0
3312.0,5,8,3312.0
