starting_score,heuristic_applied,previous heuristic,new_score
Infinity,11,0,80681.0
80681.0,4,11,2868.0
2868.0,3,4,2073.0
2073.0,4,3,1749.0
1749.0,2,4,1537.0
1537.0,6,2,1530.0
1530.0,1,6,1526.0
1526.0,3,1,1521.0
1521.0,10,3,1520.0
1520.0,8,10,1520.0
1520.0,0,Null,1520.0
1520.0,10,0,1520.0
1520.0,2,10,1520.0
1520.0,8,2,1520.0
1520.0,1,8,1520.0
1520.0,9,1,1520.0
1520.0,6,9,1520.0
1520.0,1,6,1518.0
1518.0,9,1,1518.0
1518.0,8,9,1518.0
1518.0,4,8,1518.0
1518.0,1,4,1518.0
1518.0,5,1,1518.0
1518.0,9,5,1518.0
1518.0,4,9,1518.0
1518.0,3,4,1508.0
1508.0,2,3,1506.0
1506.0,5,2,1506.0
1506.0,10,5,1506.0
1506.0,9,10,1506.0
1506.0,5,9,1506.0
1506.0,10,5,1506.0
1506.0,9,10,1506.0
1506.0,5,9,1506.0
1506.0,10,5,1506.0
1506.0,9,10,1506.0
1506.0,8,9,1506.0
1506.0,5,8,1506.0
1506.0,10,5,1506.0
1506.0,8,10,1506.0
1506.0,3,8,1506.0
1506.0,8,3,1506.0
1506.0,3,8,1405.0
1405.0,0,Null,1400.0
1400.0,10,0,1400.0
1400.0,8,10,1400.0
1400.0,1,8,1400.0
1400.0,10,1,1400.0
1400.0,9,10,1400.0
1400.0,8,9,1400.0
1400.0,5,8,1400.0
1400.0,4,5,1397.0
1397.0,3,4,1397.0
1397.0,9,3,1397.0
1397.0,0,Null,1397.0
1397.0,5,0,1397.0
1397.0,10,5,1397.0
1397.0,9,10,1397.0
1397.0,8,9,1397.0
1397.0,4,8,1397.0
1397.0,8,4,1397.0
1397.0,5,8,1397.0
1397.0,9,5,1397.0
1397.0,3,9,1397.0
1397.0,10,3,1397.0
1397.0,4,10,1397.0
1397.0,3,4,1397.0
1397.0,3,3,1397.0
1397.0,10,3,1397.0
1397.0,9,10,1397.0
1397.0,5,9,1397.0
1397.0,9,5,1397.0
1397.0,4,9,1397.0
1397.0,3,4,1397.0
1397.0,9,3,1397.0
1397.0,4,9,1302.0
1302.0,3,4,1296.0
1296.0,9,3,1296.0
1296.0,4,9,1295.0
1295.0,1,4,1295.0
1295.0,5,1,1295.0
1295.0,10,5,1295.0
1295.0,2,10,1295.0
1295.0,9,2,1295.0
1295.0,8,9,1295.0
1295.0,5,8,1295.0
1295.0,3,5,1295.0
1295.0,5,3,1295.0
1295.0,9,5,1295.0
1295.0,8,9,1295.0
1295.0,5,8,1295.0
1295.0,4,5,1295.0
1295.0,3,4,1295.0
1295.0,9,3,1295.0
1295.0,5,9,1295.0
1295.0,9,5,1295.0
1295.0,8,9,1295.0
1295.0,5,8,1295.0
1295.0,10,5,1295.0
1295.0,5,10,1295.0
