starting_score,heuristic_applied,previous heuristic,new_score
Infinity,11,0,289425.0
289425.0,4,11,3557.0
3557.0,3,4,1830.0
1830.0,4,3,1790.0
1790.0,9,4,1790.0
1790.0,3,9,1790.0
1790.0,10,3,1790.0
1790.0,3,10,1790.0
1790.0,10,3,1790.0
1790.0,3,10,1780.0
1780.0,10,3,1775.0
1775.0,8,10,1775.0
1775.0,5,8,1775.0
1775.0,8,5,1775.0
1775.0,5,8,1775.0
1775.0,8,5,1775.0
1775.0,5,8,1775.0
1775.0,8,5,1775.0
1775.0,3,8,1775.0
1775.0,9,3,1775.0
1775.0,5,9,1775.0
1775.0,10,5,1775.0
1775.0,9,10,1775.0
1775.0,8,9,1775.0
1775.0,5,8,1775.0
1775.0,10,5,1775.0
1775.0,8,10,1775.0
1775.0,5,8,1775.0
1775.0,10,5,1775.0
1775.0,9,10,1775.0
1775.0,8,9,1775.0
1775.0,4,8,1775.0
1775.0,5,4,1775.0
1775.0,10,5,1775.0
1775.0,9,10,1775.0
1775.0,2,9,1775.0
1775.0,9,2,1775.0
1775.0,8,9,1775.0
1775.0,5,8,1775.0
1775.0,10,5,1775.0
1775.0,9,10,1775.0
1775.0,1,9,1775.0
1775.0,8,1,1775.0
1775.0,3,8,1775.0
1775.0,9,3,1775.0
1775.0,4,9,1775.0
1775.0,8,4,1775.0
1775.0,5,8,1775.0
1775.0,10,5,1775.0
1775.0,5,10,1775.0
1775.0,2,5,1775.0
1775.0,10,2,1775.0
1775.0,9,10,1775.0
1775.0,2,9,1775.0
1775.0,10,2,1775.0
1775.0,9,10,1775.0
1775.0,4,9,1775.0
1775.0,10,4,1775.0
1775.0,8,10,1775.0
1775.0,5,8,1775.0
1775.0,9,5,1775.0
1775.0,8,9,1775.0
1775.0,5,8,1775.0
1775.0,8,5,1775.0
1775.0,5,8,1775.0
1775.0,8,5,1775.0
1775.0,4,8,1775.0
1775.0,10,4,1775.0
1775.0,9,10,1775.0
1775.0,8,9,1775.0
1775.0,2,8,1775.0
1775.0,8,2,1775.0
1775.0,5,8,1775.0
1775.0,10,5,1775.0
1775.0,8,10,1775.0
1775.0,5,8,1775.0
1775.0,9,5,1775.0
1775.0,5,9,1775.0
1775.0,8,5,1775.0
1775.0,5,8,1775.0
1775.0,10,5,1775.0
1775.0,8,10,1775.0
1775.0,5,8,1775.0
1775.0,10,5,1775.0
1775.0,9,10,1775.0
1775.0,5,9,1775.0
1775.0,5,5,1775.0
1775.0,9,5,1775.0
1775.0,8,9,1775.0
1775.0,2,8,1775.0
1775.0,9,2,1775.0
1775.0,8,9,1775.0
1775.0,5,8,1775.0
1775.0,10,5,1775.0
1775.0,8,10,1775.0
1775.0,4,8,1775.0
1775.0,8,4,1775.0
1775.0,4,8,1775.0
1775.0,10,4,1775.0
1775.0,8,10,1775.0
