starting_score,heuristic_applied,previous heuristic,new_score
Infinity,11,0,3322.0
3322.0,4,11,81.0
81.0,3,4,56.0
56.0,4,3,43.0
43.0,10,4,40.0
40.0,3,10,39.0
39.0,5,3,35.0
35.0,10,5,35.0
35.0,3,10,32.0
32.0,10,3,31.0
31.0,8,10,31.0
31.0,3,8,31.0
31.0,9,3,31.0
31.0,5,9,31.0
31.0,9,5,31.0
31.0,8,9,31.0
31.0,6,8,31.0
31.0,3,6,31.0
31.0,10,3,31.0
31.0,5,10,31.0
31.0,9,5,31.0
31.0,5,9,31.0
31.0,9,5,31.0
31.0,8,9,31.0
31.0,5,8,31.0
31.0,10,5,31.0
31.0,9,10,31.0
31.0,8,9,31.0
31.0,5,8,31.0
31.0,9,5,31.0
31.0,4,9,31.0
31.0,10,4,31.0
31.0,9,10,31.0
31.0,3,9,31.0
31.0,10,3,31.0
31.0,9,10,31.0
31.0,2,9,31.0
31.0,9,2,31.0
31.0,8,9,31.0
31.0,5,8,31.0
31.0,10,5,31.0
31.0,9,10,31.0
31.0,1,9,31.0
31.0,8,1,31.0
31.0,3,8,31.0
31.0,10,3,31.0
31.0,9,10,31.0
31.0,4,9,31.0
31.0,10,4,31.0
31.0,8,10,31.0
31.0,2,8,31.0
31.0,1,2,31.0
31.0,9,1,31.0
31.0,8,9,31.0
31.0,2,8,31.0
31.0,10,2,31.0
31.0,9,10,31.0
31.0,5,9,31.0
31.0,9,5,31.0
31.0,4,9,31.0
31.0,10,4,31.0
31.0,8,10,31.0
31.0,5,8,31.0
31.0,8,5,31.0
31.0,4,8,31.0
31.0,10,4,31.0
31.0,3,10,31.0
31.0,10,3,31.0
31.0,5,10,31.0
31.0,5,5,31.0
31.0,3,5,31.0
31.0,10,3,31.0
31.0,9,10,31.0
31.0,5,9,31.0
31.0,10,5,31.0
31.0,9,10,31.0
31.0,3,9,31.0
31.0,10,3,31.0
31.0,8,10,31.0
31.0,3,8,31.0
31.0,5,3,31.0
31.0,10,5,31.0
31.0,9,10,31.0
31.0,8,9,31.0
31.0,4,8,31.0
31.0,8,4,31.0
31.0,5,8,31.0
31.0,10,5,31.0
31.0,9,10,31.0
31.0,5,9,31.0
31.0,10,5,31.0
31.0,8,10,31.0
31.0,6,8,31.0
31.0,3,6,30.0
30.0,9,3,30.0
30.0,4,9,30.0
30.0,5,4,30.0
30.0,3,5,30.0
30.0,10,3,30.0
30.0,4,10,30.0
