starting_score,heuristic_applied,previous heuristic,new_score
Infinity,11,0,190016.0
190016.0,3,11,11658.0
11658.0,2,3,4150.0
4150.0,3,2,3929.0
3929.0,4,3,3614.0
3614.0,2,4,3564.0
3564.0,3,2,3549.0
3549.0,10,3,3544.0
3544.0,9,10,3544.0
3544.0,3,9,3539.0
3539.0,4,3,3489.0
3489.0,3,4,3422.0
3422.0,2,3,3392.0
3392.0,3,2,3346.0
3346.0,9,3,3346.0
3346.0,7,9,3346.0
3346.0,4,7,3346.0
3346.0,10,4,3346.0
3346.0,5,10,3346.0
3346.0,10,5,3346.0
3346.0,8,10,3346.0
3346.0,7,8,3346.0
3346.0,4,7,3346.0
3346.0,8,4,3346.0
3346.0,5,8,3346.0
3346.0,10,5,3346.0
3346.0,8,10,3346.0
3346.0,3,8,3346.0
3346.0,10,3,3346.0
3346.0,9,10,3346.0
3346.0,5,9,3346.0
3346.0,10,5,3346.0
3346.0,9,10,3346.0
3346.0,5,9,3346.0
3346.0,10,5,3346.0
3346.0,8,10,3346.0
3346.0,3,8,3346.0
3346.0,4,3,3346.0
3346.0,10,4,3346.0
3346.0,8,10,3346.0
3346.0,0,Null,3346.0
3346.0,9,0,3346.0
3346.0,3,9,3346.0
3346.0,10,3,3346.0
3346.0,9,10,3346.0
3346.0,3,9,3346.0
3346.0,10,3,3346.0
3346.0,5,10,3346.0
3346.0,9,5,3346.0
3346.0,4,9,3346.0
3346.0,8,4,3346.0
3346.0,5,8,3346.0
3346.0,10,5,3346.0
3346.0,5,10,3346.0
3346.0,2,5,3346.0
3346.0,10,2,3346.0
3346.0,9,10,3346.0
3346.0,2,9,3346.0
3346.0,10,2,3346.0
3346.0,9,10,3346.0
3346.0,4,9,3346.0
3346.0,10,4,3346.0
3346.0,8,10,3346.0
3346.0,5,8,3346.0
3346.0,9,5,3346.0
3346.0,8,9,3346.0
3346.0,5,8,3346.0
3346.0,8,5,3346.0
3346.0,5,8,3346.0
3346.0,8,5,3346.0
3346.0,4,8,3346.0
3346.0,10,4,3346.0
3346.0,9,10,3346.0
3346.0,8,9,3346.0
3346.0,2,8,3346.0
3346.0,8,2,3346.0
3346.0,7,8,3346.0
3346.0,5,7,3346.0
3346.0,10,5,3346.0
3346.0,9,10,3346.0
3346.0,8,9,3346.0
3346.0,7,8,3346.0
3346.0,5,7,3346.0
3346.0,8,5,3346.0
3346.0,5,8,3346.0
3346.0,4,5,3346.0
3346.0,10,4,3346.0
3346.0,9,10,3346.0
3346.0,5,9,3346.0
3346.0,9,5,3346.0
3346.0,5,9,3346.0
3346.0,9,5,3346.0
3346.0,3,9,3346.0
3346.0,4,3,3346.0
3346.0,10,4,3346.0
3346.0,5,10,3346.0
3346.0,10,5,3346.0
3346.0,3,10,3346.0
3346.0,9,3,3346.0
3346.0,8,9,3346.0
