starting_score,heuristic_applied,previous heuristic,new_score
Infinity,11,0,139675
139675,1,11,73183
73183,4,1,36922
36922,6,4,20761
20761,2,6,16061
16061,4,2,12646
12646,6,4,11359
11359,1,6,10903
10903,2,1,10503
10503,4,2,10302
10302,1,4,10190
10190,4,1,10139
10139,6,4,10078
10078,0,6,9928
9928,3,0,9902
9902,10,3,9890
9890,2,10,9870
9870,6,2,9792
9792,3,6,9767
9767,4,3,9740
9740,2,4,9720
9720,0,2,9704
9704,3,0,9700
9700,4,3,9698
9698,3,4,9695
9695,6,3,9694
9694,0,6,9686
9686,8,0,9686
9686,3,8,9683
9683,4,3,9674
9674,10,4,9674
9674,3,10,9672
9672,9,3,9672
9672,5,9,9672
9672,9,5,9672
9672,8,9,9672
9672,3,8,9664
9664,9,3,9652
9652,0,9,9651
9651,3,0,9641
9641,1,3,9639
9639,0,1,9638
9638,3,0,9637
9637,10,3,9637
9637,9,10,9637
9637,8,9,9637
9637,3,8,9637
9637,10,3,9637
9637,8,10,9637
9637,4,8,9637
9637,10,4,9637
9637,9,10,9637
9637,8,9,9637
9637,5,8,9637
9637,9,5,9637
9637,8,9,9637
9637,3,8,9637
9637,10,3,9637
9637,9,10,9637
9637,6,9,9629
9629,0,6,9623
9623,3,0,9612
9612,10,3,9612
9612,8,10,9612
9612,1,8,9612
9612,9,1,9612
9612,3,9,9611
9611,5,3,9610
9610,6,5,9596
9596,1,6,9580
9580,0,1,9578
9578,3,0,9569
9569,0,3,9567
9567,9,0,9567
9567,2,9,9567
9567,3,2,9566
9566,5,3,9566
9566,10,5,9566
9566,9,10,9566
9566,5,9,9566
9566,10,5,9566
9566,3,10,9558
9558,9,3,9557
9557,3,9,9556
9556,5,3,9556
9556,1,5,9556
9556,9,1,9556
9556,8,9,9556
9556,2,8,9556
9556,10,2,9556
9556,9,10,9556
9556,5,9,9556
9556,7,5,9445
9445,0,7,9366
9366,2,0,9356
9356,1,2,9354
9354,3,1,9352
9352,9,3,9352
9352,3,9,9351
9351,10,3,9351
